iter	Passed	Remaining
0	1	137
1	2	130
2	3	124
3	4	113
4	5	112
5	7	112
6	8	111
7	9	110
8	10	110
9	12	109
10	14	119
11	16	118
12	17	115
13	18	113
14	19	111
15	20	110
16	22	108
17	23	106
18	26	111
19	30	121
20	31	119
21	36	129
22	38	127
23	41	130
24	42	127
25	43	124
26	44	121
27	46	118
28	47	115
29	48	113
30	49	111
31	51	110
32	53	107
33	54	106
34	56	104
35	57	101
36	58	99
37	60	98
38	61	96
39	62	93
40	64	93
41	65	90
42	66	88
43	67	86
44	71	87
45	72	85
46	74	84
47	76	82
48	77	80
49	78	78
50	80	77
51	81	75
52	82	73
53	84	72
54	86	70
55	87	69
56	90	68
57	92	67
58	96	66
59	97	65
60	101	64
61	102	62
62	104	61
63	106	59
64	107	58
65	109	56
66	111	55
67	114	54
68	116	52
69	118	50
70	119	48
71	120	46
72	122	45
73	124	43
74	125	41
75	126	39
76	127	38
77	129	36
78	130	34
79	132	33
80	133	31
81	134	29
82	135	27
83	136	26
84	138	24
85	139	22
86	141	21
87	142	19
88	143	17
89	145	16
90	146	14
91	148	12
92	149	11
93	151	9
94	152	8
95	153	6
96	154	4
97	156	3
98	158	1
99	159	0
